--- Migration Backend Started ---
Session ID: a064533a6500ae6702b3005d58c762aa
Session Data Found: NO
2026-01-03 14:12:30 [PROGRESS] 117
2026-01-03 14:12:30 [START] 111_ensure_banner_enums.sql
2026-01-03 14:12:31 [PROGRESS] 118
2026-01-03 14:12:31 [START] 115_ensure_feature_tables.sql
2026-01-03 14:12:31 [PROGRESS] 119
2026-01-03 14:12:31 [START] 116_seed_default_data.sql
2026-01-03 14:12:31 [PROGRESS] 120
2026-01-03 14:12:31 [START] 122_fix_products_table.sql
2026-01-03 14:12:31 [PROGRESS] 121
2026-01-03 14:12:31 [START] 123_add_slug_to_products.sql
2026-01-03 14:12:31 [PROGRESS] 122
2026-01-03 14:12:31 [START] 123_fix_missing_tables.sql
2026-01-03 14:12:31 [PROGRESS] 123
2026-01-03 14:12:31 [START] 998_environment_and_tenant_credentials.sql
2026-01-03 14:12:32 [PROGRESS] 124
2026-01-03 14:12:32 [START] create_membership_tables.sql
2026-01-03 14:12:32 [PROGRESS] 125
2026-01-03 14:12:33 [INFO] Updated Business Name in Database Settings.
2026-01-03 14:12:33 [INFO] Seeded default Business settings to DB.
2026-01-03 14:12:33 [INFO] Skipping test users: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'naming_convention' in 'WHERE'
2026-01-03 14:12:33 [COMPLETE] Installation finished successfully.
